year,date,memo_title,url,ingestion_status,source_id,job_id,documents_created,chunks,embeddings,failure_category,error,ingested_at
2026,Apr 9 2026,What's Going on in Private Credit?,https://www.oaktreecapital.com/insights/memo/whats-going-on-in-private-credit,success,add9dd36-ba04-458b-b9f0-2a5a1f16074f,4b1e33fb-c737-4bf8-810a-af8df2dca81a,1,24,24,,,2026-06-03T03:44:35.501631+00:00
2026,Feb 26 2026,AI Hurtles Ahead,https://www.oaktreecapital.com/insights/memo/ai-hurtles-ahead,success,cd29ea8f-f994-40ab-8167-dde63145a91a,a37d4e4b-bba4-4b5a-9cd3-37eac05500ac,1,25,25,,,2026-06-03T03:44:37.375501+00:00
2025,Dec 9 2025,Is It a Bubble?,https://www.oaktreecapital.com/insights/memo/is-it-a-bubble,success,459941bd-8ca3-46df-93b7-ac0db07be441,ef651d00-282d-4053-84f1-1e171f64c2a5,1,36,36,,,2026-06-03T03:44:40.735685+00:00
2025,Nov 6 2025,Cockroaches in the Coal Mine,https://www.oaktreecapital.com/insights/memo/cockroaches-in-the-coal-mine,success,6b6c91f4-ddd1-44ef-9ff3-d5b1c27a585f,fd30ff9a-c0ad-431f-968f-9506cc168b16,1,15,15,,,2026-06-03T03:44:42.197110+00:00
2025,Oct 28 2025,A Look Under the Hood,https://www.oaktreecapital.com/insights/memo/a-look-under-the-hood,success,82d86778-b211-444b-bbe9-2b4e8886c226,716da0d3-ba39-4f6a-ac3d-9b10d72d94c2,1,16,16,,,2026-06-03T03:44:43.951440+00:00
2025,Aug 14 2025,The Calculus of Value,https://www.oaktreecapital.com/insights/memo/the-calculus-of-value,success,34f5bd5e-4ce1-42d4-93ea-75b4f6891e20,813fa168-0cd2-48d3-a987-888637148014,1,23,23,,,2026-06-03T03:44:45.756080+00:00
2025,Jun 18 2025,More on Repealing the Laws of Economics,https://www.oaktreecapital.com/insights/memo/more-on-repealing-the-laws-of-economics,success,de265ad2-5013-443e-b289-55d7a7677bab,3d4df46d-23ce-4dcb-90dc-f6490576e379,1,21,21,,,2026-06-03T03:44:47.049116+00:00
2025,Apr 9 2025,Nobody Knows (Yet Again),https://www.oaktreecapital.com/insights/memo/nobody-knows-yet-again,success,29cc67de-4592-4919-a340-41ffc7139197,c8993f0d-3728-407c-972b-afc7866abd52,1,20,20,,,2026-06-03T03:44:48.533778+00:00
2025,Mar 6 2025,Gimme Credit,https://www.oaktreecapital.com/insights/memo/gimme-credit,success,cd3d8eac-08e3-4394-9dd8-0604c704b873,09ea9bfa-9481-4426-9129-813589704f2b,1,18,18,,,2026-06-03T03:44:50.391745+00:00
2025,Jan 7 2025,On Bubble Watch,https://www.oaktreecapital.com/insights/memo/on-bubble-watch,success,cf7999a0-8a42-4bd1-b3bb-9a95fa26a080,d822578a-cb20-459d-a099-fd383744446f,1,22,22,,,2026-06-03T03:44:51.774502+00:00
2024,Oct 22 2024,Ruminating on Asset Allocation,https://www.oaktreecapital.com/insights/memo/ruminating-on-asset-allocation,success,7d1081c4-878e-4df3-9707-5a1c98cbff8d,55a054d6-1163-4849-a51b-69b5f26cb04c,1,15,15,,,2026-06-03T03:44:53.948260+00:00
2024,Sep 19 2024,Shall We Repeal the Laws of Economics?,https://www.oaktreecapital.com/insights/memo/shall-we-repeal-the-laws-of-economics,success,97040ada-c6a5-4a48-a62a-d5b7f2de8400,c4f13872-fd48-4e20-8b52-c7c3fe35327d,1,30,30,,,2026-06-03T03:44:55.862628+00:00
2024,Aug 22 2024,Mr. Market Miscalculates,https://www.oaktreecapital.com/insights/memo/mr-market-miscalculates,success,d2db6035-8a87-4632-b087-92afcf9fcf12,851e5c4d-9ca2-4a66-a525-61c99cfb8575,1,15,15,,,2026-06-03T03:44:57.958258+00:00
